% Magic Creature Cards
% UNH/UNG/pHHO Removed
% Source: AllCards-x.json @ mtgjson.com
% 
% Machine Learning Project - Sam Cumings / David Burks
% Set Downloaded 15.10.25

@RELATION CMC

@ATTRIBUTE Id NUMERIC
@ATTRIBUTE cmc NUMERIC
@ATTRIBUTE power NUMERIC
@ATTRIBUTE toughness NUMERIC
@ATTRIBUTE isRed NUMERIC
@ATTRIBUTE isBlue NUMERIC
@ATTRIBUTE isGreen NUMERIC
@ATTRIBUTE isBlack NUMERIC
@ATTRIBUTE isWhite NUMERIC
@ATTRIBUTE isColorless NUMERIC
@ATTRIBUTE isVanilla NUMERIC
@ATTRIBUTE isFlying NUMERIC
@ATTRIBUTE isTrample NUMERIC
@ATTRIBUTE isMorph NUMERIC
@ATTRIBUTE isHaste NUMERIC
@ATTRIBUTE isStrike NUMERIC
@DATA
60,4,3,3,0,1,0,0,0,0,0,1,0,0,0,0
61,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
62,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0
63,7,5,6,0,0,0,0,1,0,0,1,0,0,0,0
64,2,3,3,0,0,0,0,0,1,0,0,0,0,0,0
65,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0
66,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0
67,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0
68,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
69,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0
70,3,2,2,0,0,1,0,0,0,0,0,0,0,0,0
71,6,6,6,0,1,1,0,0,0,0,0,1,1,0,0
72,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0
73,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
74,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0
75,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
76,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0
77,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0
78,4,3,2,0,0,1,0,0,0,0,0,0,1,0,0
79,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0
80,5,5,4,0,0,1,1,0,0,1,0,0,0,0,0
81,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0
82,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0
83,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
84,4,2,3,0,0,0,0,1,0,0,0,0,0,0,0
85,5,4,4,0,1,0,0,0,0,0,0,0,0,0,0
86,6,6,6,0,0,0,1,0,0,0,0,0,0,0,0
87,7,6,6,1,0,0,0,0,0,0,1,0,0,0,0
88,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0
89,5,4,4,0,0,0,0,1,0,0,0,0,0,0,0
90,7,8,8,0,1,0,0,0,0,0,0,0,0,0,0
91,2,3,1,0,0,0,0,1,0,1,0,0,0,0,0
92,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0
93,4,4,4,0,0,0,1,0,0,0,0,0,0,0,0
94,3,4,2,0,0,1,0,0,0,0,0,0,0,0,0
95,4,4,3,0,0,1,0,0,0,0,0,0,0,0,0
96,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0
97,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0
98,4,2,2,0,0,0,1,0,0,0,1,0,0,0,0
99,2,2,1,0,0,0,0,1,0,0,1,0,0,0,0
100,6,5,4,0,0,1,0,0,0,0,0,1,0,0,0
101,4,4,4,0,0,0,0,0,1,0,0,0,0,0,0
102,4,2,4,0,0,0,0,1,0,0,1,0,0,0,0
104,4,5,3,1,0,0,0,0,0,0,0,1,0,0,0
105,16,9,9,0,0,0,0,0,1,0,1,0,0,0,0
107,5,2,4,0,0,0,1,0,0,0,0,0,0,0,0
108,4,3,1,0,0,0,1,0,0,0,1,0,0,0,0
109,4,2,2,0,1,0,0,0,0,0,1,0,0,0,0
110,5,6,6,0,1,1,0,0,0,0,0,0,0,0,0
111,5,2,2,0,1,0,0,0,0,0,0,0,0,0,0
112,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0
113,5,4,5,1,0,0,1,0,0,0,1,0,0,0,0
114,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0
115,1,3,4,0,0,0,0,1,0,0,0,0,0,0,1
116,4,0,4,0,0,0,1,0,0,0,0,0,0,0,0
117,5,3,3,0,0,1,0,0,0,0,0,0,0,0,0
118,3,2,2,0,0,1,0,0,0,0,0,0,0,0,0
119,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0
120,3,2,2,0,0,0,1,0,0,0,0,0,0,0,0
121,4,2,2,0,0,0,0,1,0,0,1,0,0,0,0
122,2,1,2,0,1,0,0,0,0,0,1,0,0,0,0
123,4,3,4,0,0,1,0,0,0,0,0,0,0,0,0
124,3,2,3,0,1,0,1,1,0,0,0,0,0,0,0
125,6,4,2,0,0,1,0,0,0,0,0,0,0,0,0
126,5,4,4,0,0,1,0,0,0,0,0,0,0,0,0
127,6,8,8,1,0,0,1,0,0,0,0,0,0,0,0
128,6,3,4,0,1,0,0,0,0,0,0,0,0,0,0
129,5,3,3,1,0,1,1,0,0,0,0,0,0,0,0
130,4,3,3,0,0,0,0,0,1,0,0,0,0,0,0
131,4,3,4,0,1,0,0,0,0,0,0,0,0,0,0
132,5,2,3,0,0,0,1,1,0,0,0,0,0,0,0
133,3,2,2,0,0,0,0,1,0,0,0,0,0,0,0
134,3,2,2,1,0,0,0,0,0,0,0,0,0,0,1
135,3,2,3,0,0,0,1,0,0,0,0,0,0,0,0
136,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0
137,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0
138,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0
139,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
140,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
141,5,5,5,1,0,0,0,0,0,0,0,0,0,0,0
142,6,5,4,1,0,0,0,0,0,0,1,0,0,0,0
143,4,2,4,0,1,0,0,0,0,0,0,0,0,0,0
144,4,2,2,0,0,0,0,0,1,0,0,0,0,0,0
145,3,1,3,0,0,1,0,0,0,0,0,0,0,0,0
146,4,1,3,0,1,0,0,0,0,0,0,0,0,0,0
147,6,6,6,1,1,0,1,0,0,0,1,0,0,0,0
148,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0
149,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0
150,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
151,2,2,2,1,0,0,1,0,0,0,0,0,0,0,0
152,7,5,6,0,0,0,1,0,0,0,1,0,0,0,0
153,4,2,4,0,0,0,0,1,0,0,0,0,0,0,0
154,5,7,7,1,1,1,1,1,0,0,0,0,0,0,0
155,6,5,4,0,0,1,0,0,0,0,0,0,1,0,0
157,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0
158,5,3,3,0,0,1,0,0,0,0,0,0,0,0,0
159,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0
160,4,5,3,0,0,0,0,0,1,0,0,0,0,0,0
162,5,3,3,0,1,0,0,0,0,0,0,0,0,0,0
163,4,2,3,0,0,0,0,1,0,0,0,0,0,0,0
164,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0
165,5,4,4,0,0,0,1,0,0,0,0,0,0,0,0
166,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
167,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
168,5,4,4,0,1,0,1,0,0,0,0,0,0,0,0
169,6,4,4,0,0,1,0,0,0,0,0,0,0,0,0
170,5,3,3,1,0,0,0,0,0,0,0,0,0,1,0
171,5,2,2,0,1,0,0,0,0,0,0,0,0,0,0
172,6,4,4,0,0,0,0,1,0,0,1,0,0,0,0
173,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1
174,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0
175,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0
176,5,5,5,1,0,0,0,0,0,0,1,0,0,1,0
177,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0
178,3,2,2,0,0,1,0,0,0,0,0,0,0,0,0
179,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0
180,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0
181,4,9,8,0,0,0,0,0,1,0,1,0,0,0,0
182,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0
183,5,2,3,0,0,0,0,1,0,0,1,0,0,0,0
184,3,2,3,0,0,0,0,1,0,0,0,0,0,0,0
185,4,3,3,0,1,1,0,0,0,0,1,0,0,0,0
186,3,2,1,0,0,0,0,1,0,0,1,0,0,0,0
187,5,4,4,0,0,1,0,0,0,0,0,0,0,0,0
188,5,2,3,0,0,0,0,1,0,0,0,0,0,0,0
189,5,5,3,1,0,0,1,0,0,0,0,0,0,0,0
190,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
191,5,3,3,0,0,0,1,0,0,0,1,0,0,0,0
192,3,2,1,0,0,0,1,0,0,0,1,0,0,0,0
193,4,4,3,0,0,0,0,0,1,0,0,0,0,0,0
194,3,5,1,1,0,0,0,0,0,0,0,0,0,1,0
195,4,3,3,0,0,1,0,0,0,0,0,0,0,0,0
196,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
197,5,2,5,0,0,0,0,1,0,0,0,0,0,0,0
198,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0
199,6,5,4,1,0,1,0,1,0,0,0,0,0,0,0
200,6,5,5,0,0,1,0,0,0,0,0,1,0,0,0
201,2,0,6,0,0,0,0,0,1,0,0,0,0,0,0
202,5,4,4,0,0,1,0,0,0,0,0,0,0,0,0
203,2,3,3,0,0,0,1,0,0,0,0,0,0,0,0
204,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0
205,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
206,3,2,2,0,1,0,0,1,0,0,1,0,0,0,1
207,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
208,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0
209,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0
210,4,2,2,0,0,1,0,0,0,0,0,0,0,0,0
211,4,2,2,0,0,0,1,0,0,0,1,0,0,0,0
212,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0
213,9,5,5,0,1,0,0,0,0,0,0,1,0,0,0
214,6,5,3,0,0,0,1,0,0,0,0,0,0,0,0
215,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0
216,7,7,6,0,0,0,1,0,0,0,0,0,0,0,0
217,4,2,3,0,1,0,0,0,0,0,1,0,0,0,0
218,4,3,3,0,0,0,0,1,0,0,1,0,0,0,0
219,5,7,7,1,0,1,0,0,0,0,0,1,0,0,0
220,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
221,3,2,2,0,0,0,0,1,0,0,0,0,0,0,0
222,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
223,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1
224,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0
225,3,2,2,0,0,0,0,0,1,0,0,0,0,0,0
226,8,3,4,0,0,1,1,1,0,0,0,0,0,0,0
227,7,6,6,0,0,1,0,0,0,0,0,0,0,0,0
228,6,6,4,0,0,0,1,0,0,0,0,0,0,0,0
229,3,2,3,0,0,1,0,0,0,0,0,0,0,0,0
230,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0
231,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0
232,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0
233,3,2,2,0,0,0,0,1,0,0,0,0,0,0,0
234,5,3,4,0,1,0,0,0,0,0,0,0,0,0,0
235,4,2,3,0,0,1,0,0,0,0,0,0,0,0,0
236,3,2,2,1,0,0,0,0,0,0,0,0,0,1,0
237,3,2,2,0,0,0,1,0,0,0,0,0,0,0,0
238,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
239,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0
240,1,1,2,0,0,0,0,1,0,1,0,0,0,0,0
241,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
242,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0
243,4,3,3,0,0,0,0,0,1,0,0,0,0,0,0
244,7,8,8,0,1,0,0,0,0,0,0,0,0,0,0
245,7,4,4,1,0,0,0,0,0,0,0,0,0,0,1
246,2,1,1,0,0,1,0,0,0,0,0,0,1,0,0
247,5,5,4,1,0,0,1,1,0,0,0,0,0,0,0
248,4,2,2,0,0,0,1,0,0,0,0,0,0,0,0
249,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
250,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
251,5,3,4,0,1,0,0,0,0,0,0,0,0,0,1
252,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0
253,5,3,4,0,0,1,0,0,0,0,0,0,0,0,0
254,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0
255,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0
256,4,6,5,0,1,0,0,1,0,0,0,0,0,0,0
257,3,1,3,0,0,0,0,0,1,0,0,0,0,0,0
258,4,3,3,0,1,0,0,0,0,0,0,0,0,0,0
259,6,6,6,0,0,0,0,0,1,0,0,0,0,0,0
260,3,2,2,0,0,0,0,1,0,0,0,0,0,0,1
261,10,10,10,0,0,0,0,0,1,0,0,0,0,0,0
262,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0
263,3,2,2,0,0,0,1,0,0,0,0,0,0,0,0
264,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0
265,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
266,2,0,5,0,0,1,0,0,0,0,0,0,0,0,0
267,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0
268,3,4,4,0,0,1,0,0,0,0,0,0,0,0,0
269,2,1,2,0,1,0,0,0,0,0,1,0,0,0,0
270,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1
271,5,3,3,0,0,0,1,1,0,0,0,0,0,0,0
272,4,2,2,0,0,0,1,0,0,0,0,0,0,0,0
273,4,2,2,0,0,0,0,0,1,0,0,0,0,0,0
274,7,4,3,1,0,0,0,0,0,0,0,0,1,0,1
275,5,2,2,0,0,0,0,0,1,0,0,0,0,0,0
276,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0
277,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
278,6,6,5,0,0,0,1,0,0,0,0,0,0,0,0
279,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0
280,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0
281,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0
282,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0
283,3,1,1,0,1,1,0,0,0,0,1,0,0,0,0
284,2,2,1,0,0,0,1,0,0,1,0,0,0,0,0
285,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0
286,6,5,5,1,0,0,0,0,0,0,0,0,0,1,0
287,3,3,2,0,0,0,1,0,0,0,0,0,0,0,1
288,1,2,2,1,0,0,0,0,0,0,0,0,0,1,0
289,8,7,7,0,0,0,0,1,0,0,0,0,0,0,0
290,3,2,1,0,1,0,0,0,0,0,1,0,0,0,0
291,4,0,3,0,0,0,0,1,0,0,0,0,0,0,0
292,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0
293,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0
294,3,2,2,0,0,0,0,1,0,0,0,0,0,0,1
295,3,2,1,0,0,0,0,0,1,0,1,0,0,0,0
296,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0
297,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0
298,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0
299,2,0,5,0,0,1,0,0,0,0,0,0,0,0,0
300,3,2,2,1,0,0,1,0,0,0,1,0,0,0,0
301,6,2,2,0,1,0,0,0,0,0,0,0,0,0,0
302,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
303,3,2,3,0,0,0,1,0,0,0,0,0,0,0,0
304,2,2,2,0,0,1,0,0,0,1,0,0,0,0,0
305,2,2,2,0,1,0,1,0,0,0,0,0,0,0,0
306,3,1,4,0,0,0,0,0,1,0,0,0,0,0,0
307,5,4,6,1,0,0,0,0,0,0,0,0,0,0,0
308,3,2,2,1,0,0,0,0,0,0,0,0,0,1,0
309,4,1,1,0,1,1,1,1,0,0,0,0,0,0,0
310,2,1,1,0,1,0,0,0,0,0,1,0,0,0,0
311,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
312,3,2,2,1,0,0,0,0,0,0,0,0,0,1,0
313,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0
314,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
315,5,4,3,0,0,1,0,0,0,0,0,1,0,0,0
316,3,1,3,0,1,0,0,0,0,0,0,0,0,0,0
317,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0
318,5,2,6,0,1,0,0,0,0,0,0,0,0,0,0
319,2,2,2,0,0,0,0,1,0,0,0,0,0,0,1
320,6,2,7,0,0,0,1,0,0,0,0,0,0,0,0
321,5,4,1,0,0,0,1,0,0,0,0,0,0,0,0
322,7,3,6,0,0,0,1,0,0,0,0,0,0,0,0
323,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
324,4,1,3,1,1,0,1,0,0,0,1,0,0,0,0
325,6,4,4,1,0,0,0,0,0,0,1,0,0,1,0
326,4,3,3,1,0,1,0,0,0,0,0,0,0,0,0
327,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0
328,4,2,2,0,0,0,1,0,0,0,1,0,0,0,0
329,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0
330,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
331,3,3,2,0,0,0,0,1,0,0,0,0,0,0,0
332,6,6,6,1,0,0,1,1,0,0,1,0,0,0,0
333,5,2,5,0,0,1,1,0,0,0,0,0,0,0,0
334,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
335,3,2,2,0,0,0,1,0,0,0,1,0,0,0,0
336,3,1,5,1,0,0,0,0,0,0,0,0,0,0,0
337,5,3,3,1,0,0,0,0,0,0,0,0,0,0,0
338,4,2,1,0,0,0,1,0,0,0,0,0,0,0,0
339,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0
340,6,4,4,0,0,0,0,0,1,0,0,0,0,0,0
341,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0
342,3,2,3,0,0,0,0,1,0,0,0,0,0,0,0
343,3,2,2,0,0,1,0,0,0,0,0,0,0,0,0
344,3,2,2,1,0,0,0,0,0,0,0,0,0,0,1
345,4,3,2,0,0,1,0,0,0,0,0,0,0,0,0
346,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0
347,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
348,4,2,3,0,0,0,0,0,1,0,0,0,0,0,0
349,6,4,6,0,0,0,0,0,1,1,0,0,0,0,0
350,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0
351,5,4,4,0,1,0,0,0,0,0,1,0,0,0,0
352,3,3,3,0,0,0,0,1,0,0,1,0,0,0,0
353,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0
354,3,3,2,0,0,0,0,0,1,0,0,0,0,0,0
355,5,3,2,1,0,0,0,0,0,0,0,0,0,0,1
356,3,2,2,1,0,0,1,0,0,0,0,0,0,0,1
357,4,5,5,0,0,1,0,0,0,0,0,0,0,0,0
358,3,0,5,0,1,0,0,0,0,0,0,0,1,0,0
359,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
360,5,1,5,0,0,0,0,1,0,0,0,0,0,0,0
361,5,3,3,0,1,0,0,0,0,0,0,0,0,0,0
362,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
363,4,2,2,0,0,1,0,0,0,0,0,0,0,0,0
364,4,2,2,0,1,0,0,1,0,0,1,0,0,0,0
365,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0
366,3,3,2,0,0,1,0,0,0,0,0,0,0,0,0
367,3,3,1,0,0,0,1,0,0,0,0,0,0,0,0
368,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0
369,2,1,1,0,1,0,0,0,0,0,1,0,0,0,0
370,4,4,4,1,0,1,0,0,0,0,0,0,0,0,0
371,3,3,2,0,0,0,1,0,0,0,0,0,0,0,0
372,10,13,13,0,0,1,0,0,0,0,0,0,1,0,0
373,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0
374,4,3,2,1,0,0,0,0,0,0,0,0,0,0,1
375,4,3,2,1,0,0,0,0,0,0,0,0,0,1,0
377,4,2,3,0,0,0,0,1,0,0,0,0,0,0,0
378,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0
379,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0
380,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0
381,4,3,2,0,0,0,0,1,0,0,0,0,0,0,0
382,5,5,5,0,1,0,0,0,0,0,0,0,0,0,0
383,5,6,6,1,0,0,0,0,0,0,1,0,0,0,1
384,2,1,1,0,1,0,0,0,0,0,1,0,0,0,0
385,6,7,6,1,0,0,1,0,0,0,1,0,0,0,0
386,5,3,3,1,0,0,0,0,0,0,0,0,0,1,0
387,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0
388,5,3,3,1,0,0,0,0,0,0,0,0,0,0,0
389,2,2,1,0,1,0,0,0,0,0,1,0,0,0,0
390,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
391,5,2,2,0,0,1,0,0,0,0,0,0,0,0,0
392,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0
393,3,2,2,0,0,0,0,1,0,0,0,0,0,0,0
394,3,2,3,0,0,1,0,0,0,0,0,0,0,0,0
395,3,1,4,0,0,0,0,1,0,0,0,0,0,0,0
396,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0
397,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
398,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0
399,3,2,2,0,0,1,0,0,0,0,0,0,0,0,0
400,7,4,4,0,0,0,0,0,1,0,0,0,0,0,0
401,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
402,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1
403,3,0,3,0,0,0,0,1,0,0,0,0,0,0,0
404,4,2,2,0,0,0,0,1,0,0,0,0,0,0,0
405,6,5,5,0,0,0,0,0,1,0,0,0,0,0,0
406,6,5,5,1,0,0,1,0,0,0,0,0,0,0,0
407,4,2,2,0,1,0,0,0,0,0,1,0,0,0,0
408,4,2,4,0,0,1,0,0,0,0,0,0,0,0,0
409,2,1,1,0,1,0,0,0,0,0,1,0,0,0,0
410,3,2,1,0,1,0,1,0,0,0,0,0,0,0,0
411,6,6,4,1,0,0,0,0,0,0,0,0,0,0,0
412,7,7,8,0,0,0,0,0,1,0,0,0,0,0,0
413,3,2,2,0,0,1,0,0,0,0,0,0,0,0,0
414,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0
415,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0
