Name	Type	Subtype	CMC	Power	Toughness	Text	Sets
Jötun Grunt	Creature	Giant Soldier	2	4	4	Cumulative upkeep—Put two cards from a single graveyard on the bottom of their owner's library. (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)	CSP CMD
Nomadic Elf	Creature	Elf Nomad	2	2	2	{1}{G}: Add one mana of any color to your mana pool.	INV DDE
Pestilence Demon	Creature	Demon	8	7	6	Flying {B}: Pestilence Demon deals 1 damage to each creature and each player.	ROE C14
Rorix Bladewing	Creature	Dragon	6	6	5	Flying, haste	ONS HOP VMA
Acid Web Spider	Creature	Spider	5	3	5	Reach When Acid Web Spider enters the battlefield, you may destroy target Equipment.	SOM
Vectis Dominator	Artifact Creature	Human Wizard	3	0	2	{T}: Tap target creature unless its controller pays 2 life.	ARB
Vintara Elephant	Creature	Elephant	5	4	3	Trample {3}: Vintara Elephant loses trample until end of turn. Any player may activate this ability.	PCY
Cat Warriors	Creature	Cat Warrior	3	2	2	Forestwalk (This creature can't be blocked as long as defending player controls a Forest.)	LEG CHR 5ED 6ED
Beast Walkers	Creature	Human Beast Soldier	3	2	2	{G}: Beast Walkers gains banding until end of turn. (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)	HML
Lys Alana Scarblade	Creature	Elf Assassin	3	1	1	{T}, Discard an Elf card: Target creature gets -X/-X until end of turn, where X is the number of Elves you control.	LRW
Rakshasa Vizier	Creature	Cat Demon	5	4	4	Whenever one or more cards are put into exile from your graveyard, put that many +1/+1 counters on Rakshasa Vizier.	pMEI pPRE KTK
Devouring Deep	Creature	Fish	3	1	2	Islandwalk (This creature can't be blocked as long as defending player controls an Island.)	LEG
Kessig Malcontents	Creature	Human Warrior	3	3	1	When Kessig Malcontents enters the battlefield, it deals damage to target player equal to the number of Humans you control.	AVR
Darkling Stalker	Creature	Shade Spirit	4	1	1	{B}: Regenerate Darkling Stalker. {B}: Darkling Stalker gets +1/+1 until end of turn.	TMP
Labyrinth Champion	Creature	Human Warrior	4	2	2	Heroic — Whenever you cast a spell that targets Labyrinth Champion, Labyrinth Champion deals 2 damage to target creature or player.	THS
Strongarm Monk	Creature	Human Monk	5	3	3	Whenever you cast a noncreature spell, creatures you control get +1/+1 until end of turn.	DTK
Fencer Clique	Creature	Faerie Soldier	4	3	2	Flying {U}: Put Fencer Clique on top of its owner's library.	MOR
Skarrgan Skybreaker	Creature	Giant Shaman	7	3	3	Bloodthirst 3 (If an opponent was dealt damage this turn, this creature enters the battlefield with three +1/+1 counters on it.) {1}, Sacrifice Skarrgan Skybreaker: Skarrgan Skybreaker deals damage equal to its power to target creature or player.	GPT DDL
Bad Ass	Creature	Donkey Zombie	4	3.5	1	{1}{B}, Growl: Regenerate Bad Ass.	UNH
Calming Licid	Creature	Licid	3	2	2	{W}, {T}: Calming Licid loses this ability and becomes an Aura enchantment with enchant creature. Attach it to target creature. You may pay {W} to end this effect. Enchanted creature can't attack.	STH
Villainous Ogre	Creature	Ogre Warrior	3	3	2	Villainous Ogre can't block. As long as you control a Demon, Villainous Ogre has "{B}: Regenerate Villainous Ogre."	CHK
Dread Reaper	Creature	Horror	6	6	5	Flying When Dread Reaper enters the battlefield, you lose 5 life.	POR S99 ME4
Howlgeist	Creature	Spirit Wolf	6	4	2	Creatures with power less than Howlgeist's power can't block it. Undying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.)	AVR
Teysa, Orzhov Scion	Creature	Human Advisor	3	2	3	Sacrifice three white creatures: Exile target creature. Whenever another black creature you control dies, put a 1/1 white Spirit creature token with flying onto the battlefield.	GPT
Lightning Reaver	Creature	Zombie Beast	5	3	3	Haste; fear (This creature can't be blocked except by artifact creatures and/or black creatures.) Whenever Lightning Reaver deals combat damage to a player, put a charge counter on it. At the beginning of your end step, Lightning Reaver deals damage equal to the number of charge counters on it to each opponent.	ARB
Ashenmoor Liege	Creature	Elemental Knight	4	4	1	Other black creatures you control get +1/+1. Other red creatures you control get +1/+1. Whenever Ashenmoor Liege becomes the target of a spell or ability an opponent controls, that player loses 4 life.	SHM
Absolver Thrull	Creature	Thrull Cleric	4	2	3	Haunt (When this creature dies, exile it haunting target creature.) When Absolver Thrull enters the battlefield or the creature it haunts dies, destroy target enchantment.	GPT
Treasury Thrull	Creature	Thrull	6	4	4	Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.) Whenever Treasury Thrull attacks, you may return target artifact, creature, or enchantment card from your graveyard to your hand.	pPRE GTC
Order of Leitbur	Creature	Human Cleric Knight	2	2	1	Protection from black {W}: Order of Leitbur gains first strike until end of turn. {W}{W}: Order of Leitbur gets +1/+0 until end of turn.	FEM MED
Belligerent Sliver	Creature	Sliver	3	2	2	Sliver creatures you control have menace. (They can't be blocked except by two or more creatures.)	M15
Oracle of Bones	Creature	Minotaur Shaman	4	3	1	Haste Tribute 2 (As this creature enters the battlefield, an opponent of your choice may place two +1/+1 counters on it.) When Oracle of Bones enters the battlefield, if tribute wasn't paid, you may cast an instant or sorcery card from your hand without paying its mana cost.	BNG
Lightning Mauler	Creature	Human Berserker	2	2	1	Soulbond (You may pair this creature with another unpaired creature when either enters the battlefield. They remain paired for as long as you control both of them.) As long as Lightning Mauler is paired with another creature, both creatures have haste.	AVR
Stalking Bloodsucker	Creature	Vampire	6	4	4	Flying {1}{B}, Discard a card: Stalking Bloodsucker gets +2/+2 until end of turn.	ODY
Voidmage Apprentice	Creature	Human Wizard	2	1	1	Morph {2}{U}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.) When Voidmage Apprentice is turned face up, counter target spell.	LGN DD2 DD3_JVC
Ebonblade Reaper	Creature	Human Cleric	3	1	1	Whenever Ebonblade Reaper attacks, you lose half your life, rounded up. Whenever Ebonblade Reaper deals combat damage to a player, that player loses half his or her life, rounded up. Morph {3}{B}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)	ONS
Deputy of Acquittals	Creature	Human Wizard	2	2	2	Flash (You may cast this spell any time you could cast an instant.) When Deputy of Acquittals enters the battlefield, you may return another target creature you control to its owner's hand.	DGM
Subterranean Scout	Creature	Goblin Scout	2	2	1	When Subterranean Scout enters the battlefield, target creature with power 2 or less can't be blocked this turn.	ORI
Grixis Grimblade	Creature	Zombie Warrior	2	2	1	As long as you control another multicolored permanent, Grixis Grimblade gets +1/+1 and has deathtouch. (Any amount of damage it deals to a creature is enough to destroy that creature.)	ARB
Pianna, Nomad Captain	Creature	Human Nomad	3	2	2	Whenever Pianna, Nomad Captain attacks, attacking creatures get +1/+1 until end of turn.	ODY VMA
Obzedat, Ghost Council	Creature	Spirit Advisor	5	5	5	When Obzedat, Ghost Council enters the battlefield, target opponent loses 2 life and you gain 2 life. At the beginning of your end step, you may exile Obzedat. If you do, return it to the battlefield under its owner's control at the beginning of your next upkeep. It gains haste.	GTC
Aspiring Aeronaut	Creature	Human Artificer	4	1	2	Flying (This creature can't be blocked except by creatures with flying or reach.) When Aspiring Aeronaut enters the battlefield, put a 1/1 colorless Thopter artifact creature token with flying onto the battlefield.	ORI
Farhaven Elf	Creature	Elf Druid	3	1	1	When Farhaven Elf enters the battlefield, you may search your library for a basic land card and put it onto the battlefield tapped. If you do, shuffle your library.	SHM C13 C14
Kilnmouth Dragon	Creature	Dragon	7	5	5	Amplify 3 (As this creature enters the battlefield, put three +1/+1 counters on it for each Dragon card you reveal in your hand.) Flying {T}: Kilnmouth Dragon deals damage equal to the number of +1/+1 counters on it to target creature or player.	LGN ARC DDG
Pontiff of Blight	Creature	Zombie Cleric	6	2	7	Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.) Other creatures you control have extort. (If a creature has multiple instances of extort, each triggers separately.)	DGM C14
Defiant Bloodlord	Creature	Vampire	7	4	5	Flying Whenever you gain life, target opponent loses that much life.	BFZ
Fascist Art Director	Creature	Human Horror	3	2	2	{W}{W}: Fascist Art Director gains protection from the artist of your choice until end of turn..	UNH
Millennial Gargoyle	Artifact Creature	Gargoyle	4	2	2	Flying	GTC
Seraph of Dawn	Creature	Angel	4	2	4	Flying Lifelink (Damage dealt by this creature also causes you to gain that much life.)	AVR
Vodalian Merchant	Creature	Merfolk	2	1	2	When Vodalian Merchant enters the battlefield, draw a card, then discard a card.	INV
Jackal Familiar	Creature	Hound	1	2	2	Jackal Familiar can't attack or block alone.	M10
Disruptive Pitmage	Creature	Human Wizard	3	1	1	{T}: Counter target spell unless its controller pays {1}. Morph {U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)	ONS
Mayor of Avabruck	Creature	Human Advisor Werewolf	2	1	1	Other Human creatures you control get +1/+1. At the beginning of each upkeep, if no spells were cast last turn, transform Mayor of Avabruck.	pPRE ISD
Murasa Ranger	Creature	Human Warrior	4	3	3	Landfall — Whenever a land enters the battlefield under your control, you may pay {3}{G}. If you do, put two +1/+1 counters on Murasa Ranger.	BFZ
Matca Rioters	Creature	Human Warrior	3	*	*	Domain — Matca Rioters's power and toughness are each equal to the number of basic land types among lands you control.	CON MM2
Humble Defector	Creature	Human Rogue	2	2	1	{T}: Draw two cards. Target opponent gains control of Humble Defector. Activate this ability only during your turn.	FRF
Nullmage Shepherd	Creature	Elf Shaman	4	2	4	Tap four untapped creatures you control: Destroy target artifact or enchantment.	RAV
Pitiless Horde	Creature	Orc Berserker	3	5	3	At the beginning of your upkeep, you lose 2 life. Dash {2}{B}{B} (You may cast this spell for its dash cost. If you do, it gains haste, and it's returned from the battlefield to its owner's hand at the beginning of the next end step.)	DTK
Temple Acolyte	Creature	Human Cleric	2	1	3	When Temple Acolyte enters the battlefield, you gain 3 life.	PO2 DDF ME4
River Bear	Creature	Bear	4	3	3	Islandwalk (This creature can't be blocked as long as defending player controls an Island.)	PO2 9ED
Embodiment of Spring	Creature	Elemental	1	0	3	{1}{G}, {T}, Sacrifice Embodiment of Spring: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library.	KTK
Keldon Vandals	Creature	Human Rogue	3	4	1	Echo {2}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.) When Keldon Vandals enters the battlefield, destroy target artifact.	UDS
Master of Cruelties	Creature	Demon	5	1	4	First strike, deathtouch Master of Cruelties can only attack alone. Whenever Master of Cruelties attacks a player and isn't blocked, that player's life total becomes 1. Master of Cruelties assigns no combat damage this combat.	DGM
Darkthicket Wolf	Creature	Wolf	2	2	2	{2}{G}: Darkthicket Wolf gets +2/+2 until end of turn. Activate this ability only once each turn.	ISD
Goblin War Wagon	Artifact Creature	Juggernaut	4	3	3	Goblin War Wagon doesn't untap during your untap step. At the beginning of your upkeep, you may pay {2}. If you do, untap Goblin War Wagon.	MRD
Grizzled Outcasts	Creature	Human Werewolf	5	4	4	At the beginning of each upkeep, if no spells were cast last turn, transform Grizzled Outcasts.	ISD
Crovax, Ascendant Hero	Creature	Human	6	4	4	Other white creatures get +1/+1. Nonwhite creatures get -1/-1. Pay 2 life: Return Crovax, Ascendant Hero to its owner's hand.	PLC
Knight of Cliffhaven	Creature	Kor Knight	2	2	2	Level up {3} ({3}: Put a level counter on this. Level up only as a sorcery.) LEVEL 1-3 2/3 Flying LEVEL 4+ 4/4 Flying, vigilance	ROE DDG DDP
Veteran Cavalier	Creature	Human Knight	2	2	2	Vigilance (Attacking doesn't cause this creature to tap.)	S99 9ED
Scragnoth	Creature	Beast	5	3	4	Scragnoth can't be countered. Protection from blue	TMP pFNM TSB
Resistance Fighter	Creature	Human Soldier	1	1	1	Sacrifice Resistance Fighter: Prevent all combat damage target creature would deal this turn.	VIS 6ED
Jor Kadeen, the Prevailer	Creature	Human Warrior	5	5	4	First strike Metalcraft — Creatures you control get +3/+0 as long as you control three or more artifacts.	NPH
Anthousa, Setessan Hero	Creature	Human Warrior	5	4	5	Heroic — Whenever you cast a spell that targets Anthousa, Setessan Hero, up to three target lands you control each become 2/2 Warrior creatures until end of turn. They're still lands.	pPRE THS
Ramosian Commander	Creature	Human Rebel	4	2	4	{6}, {T}: Search your library for a Rebel permanent card with converted mana cost 5 or less and put it onto the battlefield. Then shuffle your library.	MMQ
Merfolk Spy	Creature	Merfolk Rogue	1	1	1	Islandwalk (This creature can't be blocked as long as defending player controls an Island.) Whenever Merfolk Spy deals combat damage to a player, that player reveals a card at random from his or her hand.	M11 M14
Pitchburn Devils	Creature	Devil	5	3	3	When Pitchburn Devils dies, it deals 3 damage to target creature or player.	ISD M14 CNS
Emissary of Hope	Creature	Spirit	3	2	1	Flying Whenever Emissary of Hope deals combat damage to a player, you gain 1 life for each artifact that player controls.	DST
Iname, Death Aspect	Creature	Spirit	6	4	4	When Iname, Death Aspect enters the battlefield, you may search your library for any number of Spirit cards and put them into your graveyard. If you do, shuffle your library.	CHK
Goblin King	Creature	Goblin	3	2	2	Other Goblin creatures get +1/+1 and have mountainwalk. (They can't be blocked as long as defending player controls a Mountain.)	LEA LEB 2ED CED CEI 3ED 4ED 5ED ATH 6ED 7ED 8ED 9ED 10E
Venerable Lammasu	Creature	Lammasu	7	5	4	Flying	KTK
Squealing Devil	Creature	Devil	2	2	1	Fear (This creature can't be blocked except by artifact creatures and/or black creatures.) When Squealing Devil enters the battlefield, you may pay {X}. If you do, target creature gets +X/+0 until end of turn. When Squealing Devil enters the battlefield, sacrifice it unless {B} was spent to cast it.	DIS
Grappler Spider	Creature	Spider	2	2	1	Reach (This creature can block creatures with flying.)	WWK
Ghost-Lit Warder	Creature	Spirit	2	1	1	{3}{U}, {T}: Counter target spell unless its controller pays {2}. Channel — {3}{U}, Discard Ghost-Lit Warder: Counter target spell unless its controller pays {4}.	SOK
Boros Elite	Creature	Human Soldier	1	1	1	Battalion — Whenever Boros Elite and at least two other creatures attack, Boros Elite gets +2/+2 until end of turn.	GTC
Shrieking Grotesque	Creature	Gargoyle	3	2	1	Flying When Shrieking Grotesque enters the battlefield, if {B} was spent to cast it, target player discards a card.	GPT
Cinderbones	Creature	Elemental Skeleton	3	1	1	Wither (This deals damage to creatures in the form of -1/-1 counters.) {1}{B}: Regenerate Cinderbones.	SHM
Mountain Titan	Creature	Giant	4	2	2	{1}{R}{R}: Until end of turn, whenever you cast a black spell, put a +1/+1 counter on Mountain Titan.	ICE
Rith's Attendant	Artifact Creature	Golem	5	3	3	{1}, Sacrifice Rith's Attendant: Add {R}{G}{W} to your mana pool.	INV
Cockatrice	Creature	Cockatrice	5	2	4	Flying Whenever Cockatrice blocks or becomes blocked by a non-Wall creature, destroy that creature at end of combat.	LEA LEB 2ED CED CEI 3ED 4ED 5ED TSB
Spectral Rider	Creature	Spirit Knight	2	2	2	Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)	ISD
Eviscerator	Creature	Horror	5	5	5	Protection from white When Eviscerator enters the battlefield, you lose 5 life.	ULG
Reborn Hero	Creature	Human Soldier	3	2	2	Vigilance Threshold — As long as seven or more cards are in your graveyard, Reborn Hero has "When Reborn Hero dies, you may pay {W}{W}. If you do, return Reborn Hero to the battlefield under your control."	TOR
Druid's Familiar	Creature	Bear	4	2	2	Soulbond (You may pair this creature with another unpaired creature when either enters the battlefield. They remain paired for as long as you control both of them.) As long as Druid's Familiar is paired with another creature, each of those creatures gets +2/+2.	AVR
Ærathi Berserker	Creature	Human Berserker	5	2	4	Rampage 3 (Whenever this creature becomes blocked, it gets +3/+3 until end of turn for each creature blocking it beyond the first.)	LEG
Geistcatcher's Rig	Artifact Creature	Construct	6	4	5	When Geistcatcher's Rig enters the battlefield, you may have it deal 4 damage to target creature with flying.	ISD
Horned Cheetah	Creature	Cat	4	2	2	Whenever Horned Cheetah deals damage, you gain that much life.	INV
Armor Sliver	Creature	Sliver	3	2	2	All Sliver creatures have "{2}: This creature gets +0/+1 until end of turn."	TMP H09 TPR
Pouncing Jaguar	Creature	Cat	1	2	2	Echo {G} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)	pARL USG
Serendib Djinn	Creature	Djinn	4	5	6	Flying At the beginning of your upkeep, sacrifice a land. If you sacrifice an Island this way, Serendib Djinn deals 3 damage to you. When you control no lands, sacrifice Serendib Djinn.	ARN ME4
Mistmeadow Skulk	Creature	Kithkin Rogue	2	1	1	Lifelink, protection from converted mana cost 3 or greater	FUT SHM
Courtly Provocateur	Creature	Human Wizard	3	1	1	{T}: Target creature attacks this turn if able. {T}: Target creature blocks this turn if able.	M13
Rag Dealer	Creature	Human Rogue	1	1	1	{2}{B}, {T}: Exile up to three target cards from a single graveyard.	CHK
Echo Mage	Creature	Human Wizard	3	2	3	Level up {1}{U} ({1}{U}: Put a level counter on this. Level up only as a sorcery.) LEVEL 2-3 2/4 {U}{U}, {T}: Copy target instant or sorcery spell. You may choose new targets for the copy. LEVEL 4+ 2/5 {U}{U}, {T}: Copy target instant or sorcery spell twice. You may choose new targets for the copies.	ROE C13
Knight of the Pilgrim's Road	Creature	Human Knight	3	3	2	Renown 1 (When this creature deals combat damage to a player, if it isn't renowned, put a +1/+1 counter on it and it becomes renowned.)	ORI
Cosmic Horror	Creature	Horror	6	7	7	First strike At the beginning of your upkeep, destroy Cosmic Horror unless you pay {3}{B}{B}{B}. If Cosmic Horror is destroyed this way, it deals 7 damage to you.	LEG 4ED ME3
Fledgling Dragon	Creature	Dragon	4	2	2	Flying Threshold — As long as seven or more cards are in your graveyard, Fledgling Dragon gets +3/+3 and has "{R}: Fledgling Dragon gets +1/+0 until end of turn."	JUD
Primal Huntbeast	Creature	Beast	4	3	3	Hexproof (This creature can't be the target of spells or abilities your opponents control.)	M13
Cenn's Heir	Creature	Kithkin Soldier	2	1	1	Whenever Cenn's Heir attacks, it gets +1/+1 until end of turn for each other attacking Kithkin.	LRW
Breaching Leviathan	Creature	Leviathan	9	9	9	When Breaching Leviathan enters the battlefield, if you cast it from your hand, tap all nonblue creatures. Those creatures don't untap during their controllers' next untap steps.	C14
Myrsmith	Creature	Human Artificer	2	2	1	Whenever you cast an artifact spell, you may pay {1}. If you do, put a 1/1 colorless Myr artifact creature token onto the battlefield.	SOM MM2
Gorilla Shaman	Creature	Ape Shaman	1	1	1	{X}{X}{1}: Destroy target noncreature artifact with converted mana cost X.	ALL CST ME2
Puppet Conjurer	Artifact Creature	Human Wizard	2	1	2	{U}, {T}: Put a 0/1 blue Homunculus artifact creature token onto the battlefield. At the beginning of your upkeep, sacrifice a Homunculus.	ALA
Windwright Mage	Artifact Creature	Human Wizard	3	2	2	Lifelink (Damage dealt by this creature also causes you to gain that much life.) Windwright Mage has flying as long as an artifact card is in your graveyard.	ALA
Grim Guardian	Enchantment Creature	Zombie	3	1	4	Constellation — Whenever Grim Guardian or another enchantment enters the battlefield under your control, each opponent loses 1 life.	JOU
Lodestone Myr	Artifact Creature	Myr	4	2	2	Trample Tap an untapped artifact you control: Lodestone Myr gets +1/+1 until end of turn.	MRD HOP MM2
