Name	Type	Subtype	CMC	Colors	Power	Toughness	Text	Sets
Embodiment of Spring	['Creature']	['Elemental']	1	['Blue']	0	3	{1}{G}, {T}, Sacrifice Embodiment of Spring: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library.	['KTK']
Ulamog's Crusher	['Creature']	['Eldrazi']	8	colorless	8	8	Annihilator 2 (Whenever this creature attacks, defending player sacrifices two permanents.) Ulamog's Crusher attacks each turn if able.	['ROE', 'MM2', 'DDP']
Warden of the First Tree	['Creature']	['Human']	1	['Green']	1	1	{1}{W/B}: Warden of the First Tree becomes a Human Warrior with base power and toughness 3/3. {2}{W/B}{W/B}: If Warden of the First Tree is a Warrior, it becomes a Human Spirit Warrior with trample and lifelink. {3}{W/B}{W/B}{W/B}: If Warden of the First Tree is a Spirit, put five +1/+1 counters on it.	['FRF']
Wu Warship	['Creature']	['Human', 'Soldier']	3	['Blue']	3	3	Wu Warship can't attack unless defending player controls an Island.	['PTK', 'ME3']
Heartmender	['Creature']	['Elemental']	4	['White', 'Green']	2	2	At the beginning of your upkeep, remove a -1/-1 counter from each creature you control. Persist (When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)	['SHM']
Sliver Construct	['Artifact', 'Creature']	['Sliver', 'Construct']	3	colorless	2	2	NA	['M14']
Craw Wurm	['Creature']	['Wurm']	6	['Green']	6	4	NA	['LEA', 'LEB', '2ED', 'CED', 'CEI', '3ED', '4ED', '5ED', '8ED', '9ED', '10E', 'M10']
Shattergang Brothers	['Creature']	['Goblin', 'Artificer']	4	['Black', 'Red', 'Green']	3	3	{2}{B}, Sacrifice a creature: Each other player sacrifices a creature. {2}{R}, Sacrifice an artifact: Each other player sacrifices an artifact. {2}{G}, Sacrifice an enchantment: Each other player sacrifices an enchantment.	['C13']
Etherium Sculptor	['Artifact', 'Creature']	['Vedalken', 'Artificer']	2	['Blue']	1	2	Artifact spells you cast cost {1} less to cast.	['ALA', 'MMA']
Soltari Visionary	['Creature']	['Soltari', 'Cleric']	3	['White']	2	2	Shadow (This creature can block or be blocked by only creatures with shadow.) Whenever Soltari Visionary deals damage to a player, destroy target enchantment that player controls.	['EXO']
Molten Hydra	['Creature']	['Hydra']	2	['Red']	1	1	{1}{R}{R}: Put a +1/+1 counter on Molten Hydra. {T}, Remove all +1/+1 counters from Molten Hydra: Molten Hydra deals damage to target creature or player equal to the number of +1/+1 counters removed this way.	['ULG']
Ghost-Lit Raider	['Creature']	['Spirit']	3	['Red']	2	1	{2}{R}, {T}: Ghost-Lit Raider deals 2 damage to target creature. Channel — {3}{R}, Discard Ghost-Lit Raider: Ghost-Lit Raider deals 4 damage to target creature.	['pREL', 'SOK']
Armored Cancrix	['Creature']	['Crab']	5	['Blue']	2	5	NA	['M11', 'M14']
Patron of the Wild	['Creature']	['Elf']	1	['Green']	1	1	Morph {2}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.) When Patron of the Wild is turned face up, target creature gets +3/+3 until end of turn.	['LGN']
Verduran Enchantress	['Creature']	['Human', 'Druid']	3	['Green']	0	2	Whenever you cast an enchantment spell, you may draw a card.	['LEA', 'LEB', '2ED', 'CED', 'CEI', '3ED', '4ED', '5ED', '6ED', '7ED', '8ED', '9ED']
Spectral Gateguards	['Creature']	['Spirit', 'Soldier']	5	['White']	2	5	Soulbond (You may pair this creature with another unpaired creature when either enters the battlefield. They remain paired for as long as you control both of them.) As long as Spectral Gateguards is paired with another creature, both creatures have vigilance.	['AVR']
Crashing Boars	['Creature']	['Boar']	5	['Green']	4	4	Whenever Crashing Boars attacks, defending player chooses an untapped creature he or she controls. That creature blocks Crashing Boars this turn if able.	['EXO', 'BTD', 'TPR']
Fathom Feeder	['Creature']	['Eldrazi', 'Drone']	2	colorless	1	1	Devoid (This card has no color.) Deathtouch Ingest (Whenever this creature deals combat damage to a player, that player exiles the top card of his or her library.) {3}{U}{B}: Draw a card. Each opponent exiles the top card of his or her library.	['BFZ']
Frenzy Sliver	['Creature']	['Sliver']	2	['Black']	1	1	All Sliver creatures have frenzy 1. (Whenever a Sliver attacks and isn't blocked, it gets +1/+0 until end of turn.)	['FUT', 'H09']
Avenger of Zendikar	['Creature']	['Elemental']	7	['Green']	5	5	When Avenger of Zendikar enters the battlefield, put a 0/1 green Plant creature token onto the battlefield for each land you control. Landfall — Whenever a land enters the battlefield under your control, you may put a +1/+1 counter on each Plant creature you control.	['WWK', 'C13', 'DDP']
Lost Order of Jarkeld	['Creature']	['Human', 'Knight']	4	['White']	0	0	As Lost Order of Jarkeld enters the battlefield, choose an opponent. Lost Order of Jarkeld's power and toughness are each equal to 1 plus the number of creatures the chosen player controls.	['ICE', 'ME2']
Elvish Branchbender	['Creature']	['Elf', 'Druid']	3	['Green']	2	2	{T}: Until end of turn, target Forest becomes an X/X Treefolk creature in addition to its other types, where X is the number of Elves you control.	['LRW']
Laboratory Maniac	['Creature']	['Human', 'Wizard']	3	['Blue']	2	2	If you would draw a card while your library has no cards in it, you win the game instead.	['ISD']
Kraken Hatchling	['Creature']	['Kraken']	1	['Blue']	0	4	NA	['ZEN', 'M13']
Safehold Sentry	['Creature']	['Elf', 'Warrior']	2	['White']	2	2	{2}{W}, {Q}: Safehold Sentry gets +0/+2 until end of turn. ({Q} is the untap symbol.)	['SHM']
Rakdos Ringleader	['Creature']	['Skeleton', 'Warrior']	6	['Black', 'Red']	3	1	First strike Whenever Rakdos Ringleader deals combat damage to a player, that player discards a card at random. {B}: Regenerate Rakdos Ringleader.	['RTR']
Kird Ape	['Creature']	['Ape']	1	['Red']	1	1	Kird Ape gets +1/+2 as long as you control a Forest.	['ARN', '3ED', 'pFNM', 'BTD', '9ED', 'V09', 'DDH']
Heartwood Treefolk	['Creature']	['Treefolk']	4	['Green']	3	4	Forestwalk (This creature can't be blocked as long as defending player controls a Forest.)	['TMP']
Spirespine	['Enchantment', 'Creature']	['Beast']	3	['Green']	4	1	Bestow {4}{G} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.) Spirespine blocks each turn if able. Enchanted creature gets +4/+1 and blocks each turn if able.	['JOU']
Rotting Rats	['Creature']	['Zombie', 'Rat']	2	['Black']	1	1	When Rotting Rats enters the battlefield, each player discards a card. Unearth {1}{B} ({1}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)	['CON', 'HOP']
Soltari Priest	['Creature']	['Soltari', 'Cleric']	2	['White']	2	1	Protection from red Shadow (This creature can block or be blocked by only creatures with shadow.)	['TMP', 'pSUS', 'pFNM', 'TSB', 'TPR']
Scorched Rusalka	['Creature']	['Spirit']	1	['Red']	1	1	{R}, Sacrifice a creature: Scorched Rusalka deals 1 damage to target player.	['GPT', 'DDK']
Craven Giant	['Creature']	['Giant']	3	['Red']	4	1	Craven Giant can't block.	['POR', 'STH', 'TPR']
Edric, Spymaster of Trest	['Creature']	['Elf', 'Rogue']	3	['Blue', 'Green']	2	2	Whenever a creature deals combat damage to one of your opponents, its controller may draw a card.	['CMD', 'CM1', 'CNS', 'VMA']
Quirion Elves	['Creature']	['Elf', 'Druid']	2	['Green']	1	1	As Quirion Elves enters the battlefield, choose a color. {T}: Add {G} to your mana pool. {T}: Add one mana of the chosen color to your mana pool.	['MIR', 'BTD', 'INV', 'DDE']
Arcbound Hybrid	['Artifact', 'Creature']	['Beast']	4	colorless	0	0	Haste Modular 2 (This enters the battlefield with two +1/+1 counters on it. When it dies, you may put its +1/+1 counters on target artifact creature.)	['DST']
Fledgling Imp	['Creature']	['Imp']	3	['Black']	2	2	{B}, Discard a card: Fledgling Imp gains flying until end of turn.	['ODY']
Village Elder	['Creature']	['Human', 'Druid']	1	['Green']	1	1	{G}, {T}, Sacrifice a Forest: Regenerate target creature.	['MIR', 'BRB']
Shu General	['Creature']	['Human', 'Soldier']	4	['White']	2	2	Vigilance; horsemanship (This creature can't be blocked except by creatures with horsemanship.)	['PTK', 'ME3']
Trained Armodon	['Creature']	['Elephant']	3	['Green']	3	3	NA	['TMP', '6ED', '7ED', '8ED', '9ED', 'DPA', 'TPR']
Flowstone Giant	['Creature']	['Giant']	4	['Red']	3	3	{R}: Flowstone Giant gets +2/-2 until end of turn.	['TMP']
Somberwald Dryad	['Creature']	['Dryad']	2	['Green']	2	2	Forestwalk (This creature can't be blocked as long as defending player controls a Forest.)	['DKA']
Deeptread Merrow	['Creature']	['Merfolk', 'Rogue']	2	['Blue']	2	1	{U}: Deeptread Merrow gains islandwalk until end of turn. (It can't be blocked as long as defending player controls an Island.)	['LRW']
Auspicious Ancestor	['Creature']	['Human', 'Cleric']	4	['White']	2	3	When Auspicious Ancestor dies, you gain 3 life. Whenever a player casts a white spell, you may pay {1}. If you do, you gain 1 life.	['MIR']
Dungeon Geists	['Creature']	['Spirit']	4	['Blue']	3	3	Flying When Dungeon Geists enters the battlefield, tap target creature an opponent controls. That creature doesn't untap during its controller's untap step for as long as you control Dungeon Geists.	['DKA', 'C13']
Anaba Ancestor	['Creature']	['Minotaur', 'Spirit']	2	['Red']	1	1	{T}: Another target Minotaur creature gets +1/+1 until end of turn.	['HML', 'ME3']
Bloodcrazed Goblin	['Creature']	['Goblin', 'Berserker']	1	['Red']	2	2	Bloodcrazed Goblin can't attack unless an opponent has been dealt damage this turn.	['M11']
Angel of Serenity	['Creature']	['Angel']	7	['White']	5	6	Flying When Angel of Serenity enters the battlefield, you may exile up to three other target creatures from the battlefield and/or creature cards from graveyards. When Angel of Serenity leaves the battlefield, return the exiled cards to their owners' hands.	['RTR']
Chainbreaker	['Artifact', 'Creature']	['Scarecrow']	2	colorless	3	3	Chainbreaker enters the battlefield with two -1/-1 counters on it. {3}, {T}: Remove a -1/-1 counter from target creature.	['SHM']
Shrieking Drake	['Creature']	['Drake']	1	['Blue']	1	1	Flying When Shrieking Drake enters the battlefield, return a creature you control to its owner's hand.	['VIS']
Vine Trellis	['Creature']	['Plant', 'Wall']	2	['Green']	0	4	Defender (This creature can't attack.) {T}: Add {G} to your mana pool.	['MMQ', '8ED', 'DDD', 'DD3_GVL']
Æther Adept	['Creature']	['Human', 'Wizard']	3	['Blue']	2	2	When Æther Adept enters the battlefield, return target creature to its owner's hand.	['M11', 'M12', 'DDM']
Gnarlroot Trapper	['Creature']	['Elf', 'Druid']	1	['Black']	1	1	{T}, Pay 1 life: Add {G} to your mana pool. Spend this mana only to cast an Elf creature spell. {T}: Target attacking Elf you control gains deathtouch until end of turn. (Any amount of damage it deals to a creature is enough to destroy it.)	['ORI']
Lagonna-Band Trailblazer	['Creature']	['Centaur', 'Scout']	1	['White']	0	4	Heroic — Whenever you cast a spell that targets Lagonna-Band Trailblazer, put a +1/+1 counter on Lagonna-Band Trailblazer.	['JOU']
Thornscape Battlemage	['Creature']	['Elf', 'Wizard']	3	['Green']	2	2	Kicker {R} and/or {W} (You may pay an additional {R} and/or {W} as you cast this spell.) When Thornscape Battlemage enters the battlefield, if it was kicked with its {R} kicker, it deals 2 damage to target creature or player. When Thornscape Battlemage enters the battlefield, if it was kicked with its {W} kicker, destroy target artifact.	['PLS', 'TSB', 'DDE']
Sagu Mauler	['Creature']	['Beast']	6	['Blue', 'Green']	6	6	Trample, hexproof Morph {3}{G}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)	['KTK']
Frozen Shade	['Creature']	['Shade']	3	['Black']	0	1	{B}: Frozen Shade gets +1/+1 until end of turn.	['LEA', 'LEB', '2ED', 'CED', 'CEI', '3ED', '4ED', '5ED']
Soul's Attendant	['Creature']	['Human', 'Cleric']	1	['White']	1	1	Whenever another creature enters the battlefield, you may gain 1 life.	['ROE']
Radha, Heir to Keld	['Creature']	['Elf', 'Warrior']	2	['Red', 'Green']	2	2	Whenever Radha, Heir to Keld attacks, you may add {R}{R} to your mana pool. {T}: Add {G} to your mana pool.	['PLC']
Ishi-Ishi, Akki Crackshot	['Creature']	['Goblin', 'Warrior']	2	['Red']	1	1	Whenever an opponent casts a Spirit or Arcane spell, Ishi-Ishi, Akki Crackshot deals 2 damage to that player.	['BOK']
Callow Jushi	['Creature']	['Human', 'Wizard']	3	['Blue']	2	2	Whenever you cast a Spirit or Arcane spell, you may put a ki counter on Callow Jushi. At the beginning of the end step, if there are two or more ki counters on Callow Jushi, you may flip it.	['BOK']
Whirlpool Warrior	['Creature']	['Merfolk', 'Warrior']	3	['Blue']	2	2	When Whirlpool Warrior enters the battlefield, shuffle the cards from your hand into your library, then draw that many cards. {R}, Sacrifice Whirlpool Warrior: Each player shuffles the cards from his or her hand into his or her library, then draws that many cards.	['APC', 'PC2']
Nantuko Vigilante	['Creature']	['Insect', 'Druid', 'Mutant']	4	['Green']	3	2	Morph {1}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.) When Nantuko Vigilante is turned face up, destroy target artifact or enchantment.	['LGN']
Vitaspore Thallid	['Creature']	['Fungus']	2	['Green']	1	1	At the beginning of your upkeep, put a spore counter on Vitaspore Thallid. Remove three spore counters from Vitaspore Thallid: Put a 1/1 green Saproling creature token onto the battlefield. Sacrifice a Saproling: Target creature gains haste until end of turn.	['PLC']
Golgari Longlegs	['Creature']	['Insect']	5	['Black', 'Green']	5	4	NA	['RTR']
Fleet-Footed Monk	['Creature']	['Human', 'Monk']	2	['White']	1	1	Fleet-Footed Monk can't be blocked by creatures with power 2 or greater.	['POR']
Ruthless Cullblade	['Creature']	['Vampire', 'Warrior']	2	['Black']	2	1	Ruthless Cullblade gets +2/+1 as long as an opponent has 10 or less life.	['WWK']
Soltari Foot Soldier	['Creature']	['Soltari', 'Soldier']	1	['White']	1	1	Shadow (This creature can block or be blocked by only creatures with shadow.)	['TMP', 'BRB']
Dragonscale General	['Creature']	['Human', 'Warrior']	4	['White']	2	3	At the beginning of your end step, bolster X, where X is the number of tapped creatures you control. (Choose a creature with the least toughness among creatures you control and put X +1/+1 counters on it.)	['pMEI', 'FRF']
Lu Meng, Wu General	['Creature']	['Human', 'Soldier']	5	['Blue']	4	4	Horsemanship (This creature can't be blocked except by creatures with horsemanship.)	['PTK', 'ME3']
Soul of Innistrad	['Creature']	['Avatar']	6	['Black']	6	6	Deathtouch {3}{B}{B}: Return up to three target creature cards from your graveyard to your hand. {3}{B}{B}, Exile Soul of Innistrad from your graveyard: Return up to three target creature cards from your graveyard to your hand.	['M15']
Balefire Dragon	['Creature']	['Dragon']	7	['Red']	6	6	Flying Whenever Balefire Dragon deals combat damage to a player, it deals that much damage to each creature that player controls.	['ISD']
Vexing Devil	['Creature']	['Devil']	1	['Red']	4	3	When Vexing Devil enters the battlefield, any opponent may have it deal 4 damage to him or her. If a player does, sacrifice Vexing Devil.	['AVR']
Stonehewer Giant	['Creature']	['Giant', 'Warrior']	5	['White']	4	4	Vigilance {1}{W}, {T}: Search your library for an Equipment card and put it onto the battlefield. Attach it to a creature you control. Then shuffle your library.	['MOR', 'MMA']
Zhou Yu, Chief Commander	['Creature']	['Human', 'Soldier']	7	['Blue']	8	8	Zhou Yu, Chief Commander can't attack unless defending player controls an Island.	['PTK']
Dromoka Warrior	['Creature']	['Human', 'Warrior']	2	['White']	3	1	NA	['DTK']
Bog Glider	['Creature']	['Human', 'Mercenary']	3	['Black']	1	1	Flying {T}, Sacrifice a land: Search your library for a Mercenary permanent card with converted mana cost 2 or less and put it onto the battlefield. Then shuffle your library.	['PCY']
Enslaved Horror	['Creature']	['Horror']	4	['Black']	4	4	When Enslaved Horror enters the battlefield, each other player may return a creature card from his or her graveyard to the battlefield.	['MMQ']
Leery Fogbeast	['Creature']	['Beast']	3	['Green']	4	2	Whenever Leery Fogbeast becomes blocked, prevent all combat damage that would be dealt this turn.	['ONS']
Barishi	['Creature']	['Elemental']	4	['Green']	4	3	When Barishi dies, exile Barishi, then shuffle all creature cards from your graveyard into your library.	['WTH']
Thoughtcutter Agent	['Artifact', 'Creature']	['Human', 'Rogue']	2	['Blue', 'Black']	1	1	{U}{B}, {T}: Target player loses 1 life and reveals his or her hand.	['ALA']
Accursed Centaur	['Creature']	['Zombie', 'Centaur']	1	['Black']	2	2	When Accursed Centaur enters the battlefield, sacrifice a creature.	['ONS']
Deathgaze Cockatrice	['Creature']	['Cockatrice']	4	['Black']	2	2	Flying Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)	['M14']
Stormfront Pegasus	['Creature']	['Pegasus']	2	['White']	2	1	Flying	['M10', 'M11', 'M12']
Maze Behemoth	['Creature']	['Elemental']	6	['Green']	5	4	Trample Multicolored creatures you control have trample.	['DGM']
Hollow Warrior	['Artifact', 'Creature']	['Golem', 'Warrior']	4	colorless	4	4	Hollow Warrior can't attack or block unless you tap an untapped creature you control not declared as an attacking or blocking creature this combat. (This cost is paid as attackers or blockers are declared.)	['PCY']
Makindi Griffin	['Creature']	['Griffin']	4	['White']	2	4	Flying	['ROE', 'DDP']
Skizzik	['Creature']	['Elemental']	4	['Red']	5	3	Kicker {R} (You may pay an additional {R} as you cast this spell.) Trample, haste At the beginning of the end step, sacrifice Skizzik unless it was kicked.	['INV']
Draco	['Artifact', 'Creature']	['Dragon']	16	colorless	9	9	Domain — Draco costs {2} less to cast for each basic land type among lands you control. Flying Domain — At the beginning of your upkeep, sacrifice Draco unless you pay {10}. This cost is reduced by {2} for each basic land type among lands you control.	['PLS', 'DRB']
Greater Werewolf	['Creature']	['Werewolf']	5	['Black']	2	4	At end of combat, put a -0/-2 counter on each creature blocking or blocked by Greater Werewolf.	['HML', '5ED']
Wake of Vultures	['Creature']	['Bird']	4	['Black']	3	1	Flying {1}{B}, Sacrifice a creature: Regenerate Wake of Vultures.	['VIS']
Inspired Sprite	['Creature']	['Faerie', 'Wizard']	4	['Blue']	2	2	Flash Flying Whenever you cast a Wizard spell, you may untap Inspired Sprite. {T}: Draw a card, then discard a card.	['MOR']
Species Gorger	['Creature']	['Frog', 'Beast']	5	['Blue', 'Green']	6	6	At the beginning of your upkeep, return a creature you control to its owner's hand.	['DGM']
Crystal Seer	['Creature']	['Vedalken', 'Wizard']	5	['Blue']	2	2	When Crystal Seer enters the battlefield, look at the top four cards of your library, then put them back in any order. {4}{U}: Return Crystal Seer to its owner's hand.	['GPT']
Kobold Drill Sergeant	['Creature']	['Kobold', 'Soldier']	2	['Red']	1	2	Other Kobold creatures you control get +0/+1 and have trample.	['LEG', 'ME3']
Kolaghan, the Storm's Fury	['Creature']	['Dragon']	5	['Black', 'Red']	4	5	Flying Whenever a Dragon you control attacks, creatures you control get +1/+0 until end of turn. Dash {3}{B}{R} (You may cast this spell for its dash cost. If you do, it gains haste, and it's returned from the battlefield to its owner's hand at the beginning of the next end step.)	['FRF']
Auriok Bladewarden	['Creature']	['Human', 'Soldier']	2	['White']	1	1	{T}: Target creature gets +X/+X until end of turn, where X is Auriok Bladewarden's power.	['MRD']
Kenzo the Hardhearted	['Creature']	['Human', 'Samurai']	1	['White']	3	4	Double strike; bushido 2 (Whenever this creature blocks or becomes blocked, it gets +2/+2 until end of turn.)	['CHK']
Unliving Psychopath	['Creature']	['Zombie', 'Assassin']	4	['Black']	0	4	{B}: Unliving Psychopath gets +1/-1 until end of turn. {B}, {T}: Destroy target creature with power less than Unliving Psychopath's power.	['DIS']
Fiddlehead Kami	['Creature']	['Spirit']	5	['Green']	3	3	Whenever you cast a Spirit or Arcane spell, regenerate Fiddlehead Kami.	['SOK']
Anurid Barkripper	['Creature']	['Frog', 'Beast']	3	['Green']	2	2	Threshold — Anurid Barkripper gets +2/+2 as long as seven or more cards are in your graveyard.	['JUD']
Urborg Elf	['Creature']	['Elf', 'Druid']	2	['Green']	1	1	{T}: Add {G}, {U}, or {B} to your mana pool.	['APC']
Hagra Sharpshooter	['Creature']	['Human', 'Assassin', 'Ally']	3	['Black']	2	2	{4}{B}: Target creature gets -1/-1 until end of turn.	['BFZ']
Unyaro Griffin	['Creature']	['Griffin']	4	['White']	2	2	Flying Sacrifice Unyaro Griffin: Counter target red instant or sorcery spell.	['MIR', '6ED']
Storm Crow	['Creature']	['Bird']	2	['Blue']	1	2	Flying (This creature can't be blocked except by creatures with flying or reach.)	['ALL', 'POR', 'pPOD', '6ED', 'S99', '7ED', '8ED', '9ED']
Zodiac Tiger	['Creature']	['Cat']	4	['Green']	3	4	Forestwalk (This creature can't be blocked as long as defending player controls a Forest.)	['PTK']
Esper Sojourners	['Artifact', 'Creature']	['Vedalken', 'Wizard']	3	['White', 'Blue', 'Black']	2	3	When you cycle Esper Sojourners or it dies, you may tap or untap target permanent. Cycling {2}{U} ({2}{U}, Discard this card: Draw a card.)	['ARB']
Howlgeist	['Creature']	['Spirit', 'Wolf']	6	['Green']	4	2	Creatures with power less than Howlgeist's power can't block it. Undying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.)	['AVR']
Ironhoof Ox	['Creature']	['Ox']	5	['Green']	4	4	Ironhoof Ox can't be blocked by more than one creature.	['PO2', 'ME4']
Grief Tyrant	['Creature']	['Horror']	6	['Black', 'Red']	8	8	Grief Tyrant enters the battlefield with four -1/-1 counters on it. When Grief Tyrant dies, put a -1/-1 counter on target creature for each -1/-1 counter on Grief Tyrant.	['SHM']
Arcanis the Omnipotent	['Creature']	['Wizard']	6	['Blue']	3	4	{T}: Draw three cards. {2}{U}{U}: Return Arcanis the Omnipotent to its owner's hand.	['ONS', '10E', 'DDN']
Kresh the Bloodbraided	['Creature']	['Human', 'Warrior']	5	['Black', 'Red', 'Green']	3	3	Whenever another creature dies, you may put X +1/+1 counters on Kresh the Bloodbraided, where X is that creature's power.	['ALA', 'V11']
Mind Raker	['Creature']	['Eldrazi', 'Processor']	4	colorless	3	3	Devoid (This card has no color.) When Mind Raker enters the battlefield, you may put a card an opponent owns from exile into that player's graveyard. If you do, each opponent discards a card.	['BFZ']
Water Servant	['Creature']	['Elemental']	4	['Blue']	3	4	{U}: Water Servant gets +1/-1 until end of turn. {U}: Water Servant gets -1/+1 until end of turn.	['M11', 'M14', 'MM2']
Agent of Masks	['Creature']	['Human', 'Advisor']	5	['White', 'Black']	2	3	At the beginning of your upkeep, each opponent loses 1 life. You gain life equal to the life lost this way.	['GPT']
Enchanted Being	['Creature']	['Human']	3	['White']	2	2	Prevent all combat damage that would be dealt to Enchanted Being by enchanted creatures.	['LEG']
Burning Shield Askari	['Creature']	['Human', 'Knight']	3	['Red']	2	2	Flanking (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.) {R}{R}: Burning Shield Askari gains first strike until end of turn.	['MIR']
Undercity Informer	['Creature']	['Human', 'Rogue']	3	['Black']	2	3	{1}, Sacrifice a creature: Target player reveals cards from the top of his or her library until he or she reveals a land card, then puts those cards into his or her graveyard.	['GTC']
Grizzled Wolverine	['Creature']	['Wolverine']	3	['Red']	2	2	{R}: Grizzled Wolverine gets +2/+0 until end of turn. Activate this ability only during the declare blockers step, only if at least one creature is blocking Grizzled Wolverine, and only once each turn.	['ICE']
Azusa, Lost but Seeking	['Creature']	['Human', 'Monk']	3	['Green']	1	2	You may play two additional lands on each of your turns.	['CHK']
Deathmist Raptor	['Creature']	['Lizard', 'Beast']	3	['Green']	3	3	Deathtouch Whenever a permanent you control is turned face up, you may return Deathmist Raptor from your graveyard to the battlefield face up or face down. Megamorph {4}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)	['DTK']
Avacyn's Pilgrim	['Creature']	['Human', 'Monk']	1	['Green']	1	1	{T}: Add {W} to your mana pool.	['pFNM', 'ISD']
Quirion Ranger	['Creature']	['Elf']	1	['Green']	1	1	Return a Forest you control to its owner's hand: Untap target creature. Activate this ability only once each turn.	['VIS', 'pFNM']
Hulking Cyclops	['Creature']	['Cyclops']	5	['Red']	5	5	Hulking Cyclops can't block.	['VIS', 'POR', '6ED', 'BTD', '8ED']
Forgestoker Dragon	['Creature']	['Dragon']	6	['Red']	5	4	Flying {1}{R}: Forgestoker Dragon deals 1 damage to target creature. That creature can't block this combat. Activate this ability only if Forgestoker Dragon is attacking.	['pPRE', 'BNG']
Aerie Worshippers	['Creature']	['Human', 'Cleric']	4	['Blue']	2	4	Inspired — Whenever Aerie Worshippers becomes untapped, you may pay {2}{U}. If you do, put a 2/2 blue Bird enchantment creature token with flying onto the battlefield.	['BNG']
Core Prowler	['Artifact', 'Creature']	['Horror']	4	colorless	2	2	Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.) When Core Prowler dies, proliferate. (You choose any number of permanents and/or players with counters on them, then give each another counter of a kind already there.)	['MBS']
